age,sport_licence,niveau_etude,revenu_estime_mois,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret,anciennete_compte_jours,region_Auvergne-Rhône-Alpes,region_Bretagne,region_Corse,region_Hauts-de-France,region_Normandie,region_Occitanie,region_Provence-Alpes-Côte d’Azur,region_Île-de-France,situation_familiale_célibataire,situation_familiale_divorcé,situation_familiale_marié,situation_familiale_veuf
53.0,1,6,885.0,3.0,0.48,375.0,5000.0,12373.56023523041,1971.0,0,0,0,1,0,0,0,0,0,0,1,0
57.0,1,5,3114.0,4.0,0.5,646.0,10000.0,20050.690685912497,1411.0,0,0,0,0,0,0,0,1,1,0,0,0
22.0,1,5,1501.0,3.0,0.1,578.2,10000.0,16303.54507463377,1726.0,0,0,0,0,0,1,0,0,0,0,1,0
45.0,0,1,1840.0,2.0,0.52,434.0,596.0,500.0,1854.0,0,0,0,0,0,1,0,0,1,0,0,0
37.0,1,0,2050.0,5.0,0.5,634.0,4378.692,500.0,451.0,1,0,0,0,0,0,0,0,0,0,1,0
35.0,0,0,3911.0,3.0,0.67,569.2,2559.138,500.0,1493.0,0,0,0,0,0,0,1,0,0,1,0,0
34.0,0,0,3821.0,5.0,0.04,676.6,1141.89,500.0,2069.0,0,0,0,0,0,0,0,1,0,0,1,0
29.0,0,6,500.0,2.0,0.5,521.0,925.87,17137.888522770147,1299.0,1,0,0,0,0,0,0,0,0,0,1,0
24.0,0,0,3269.0,3.0,0.45,568.2,5145.3099999999995,500.0,1580.0,0,1,0,0,0,0,0,0,1,0,0,0
74.0,0,2,500.0,2.0,0.22,556.0,5179.334,500.0,1275.0,0,0,0,0,1,0,0,0,0,0,0,1
53.0,1,5,2802.0,3.0,0.01,639.4,5000.0,21691.867312082977,984.0,0,0,0,0,0,0,0,1,0,0,1,0
58.0,1,2,832.0,2.0,0.51,689.0,5309.106000000001,23167.904430812967,1662.0,0,0,1,0,0,0,0,0,0,0,1,0
32.0,0,6,4635.0,5.0,0.8,538.6,10000.0,1986.2237285384024,2002.0,0,0,0,0,0,0,0,1,1,0,0,0
51.0,1,5,500.0,4.0,0.96,550.2,10000.0,500.0,1303.0,0,0,0,0,0,0,1,0,0,1,0,0
22.0,0,0,900.0,3.0,0.14,673.8,4019.9080000000004,500.0,1428.0,0,0,0,1,0,0,0,0,0,0,1,0
58.0,1,1,3853.0,2.0,0.4,656.0,10000.0,500.0,518.0,0,0,0,0,0,0,1,0,0,0,1,0
49.0,0,5,2203.0,3.0,0.8,538.0,866.27,16750.901381517804,1583.0,0,0,0,0,0,0,1,0,0,0,1,0
66.0,0,6,1672.0,5.0,0.12,620.0,5148.532,500.0,721.0,0,0,1,0,0,0,0,0,1,0,0,0
71.0,0,5,2267.0,3.0,0.12,818.0,10000.0,27822.25265661032,1910.0,1,0,0,0,0,0,0,0,0,0,1,0
44.0,1,0,2350.0,4.0,0.08,541.4,10000.0,12238.402238366429,2057.0,1,0,0,0,0,0,0,0,0,0,1,0
28.0,1,5,2182.0,3.0,0.02,546.6,10000.0,18547.59442206578,468.0,0,0,0,0,0,0,0,1,0,0,1,0
33.0,1,1,923.0,3.0,0.57,443.8,6240.79,500.0,1712.0,0,0,0,0,0,0,1,0,0,0,0,1
46.0,0,5,2214.0,3.0,0.86,464.0,10000.0,500.0,294.0,0,0,0,1,0,0,0,0,0,0,1,0
52.0,0,1,1959.0,5.0,0.5,592.6,5000.0,500.0,298.0,0,0,1,0,0,0,0,0,0,0,1,0
30.0,0,1,2687.0,3.0,0.65,583.2,5000.0,500.0,2187.0,0,0,0,0,0,1,0,0,1,0,0,0
27.0,1,0,1788.0,3.0,0.9,461.0,10000.0,500.0,313.0,1,0,0,0,0,0,0,0,0,0,1,0
38.0,1,5,2125.0,1.0,0.93,786.0,10000.0,500.0,1636.0,0,0,1,0,0,0,0,0,0,1,0,0
24.0,0,2,1389.0,1.0,0.6,481.6,793.17,1366.7152302536567,1760.0,0,0,0,0,0,0,0,1,1,0,0,0
31.0,1,0,2850.0,2.0,0.89,520.0,10000.0,500.0,1885.0,0,0,1,0,0,0,0,0,0,0,1,0
30.0,1,5,1809.0,4.0,0.28,763.0,5000.0,500.0,379.0,0,0,1,0,0,0,0,0,0,0,0,1
24.0,1,5,4370.0,2.0,0.15,804.0,10000.0,7915.101090898372,663.0,1,0,0,0,0,0,0,0,0,0,1,0
20.0,1,5,4778.0,0.0,0.4,594.6,2618.388,28396.908742389693,1741.0,0,1,0,0,0,0,0,0,0,0,1,0
72.0,0,6,725.0,3.0,0.8,520.4,10000.0,18632.93584235897,346.0,0,0,0,0,0,0,0,1,0,0,0,1
19.0,0,0,2124.0,2.0,0.53,511.0,5000.0,500.0,1108.0,0,0,0,0,0,0,0,1,1,0,0,0
49.0,0,1,3422.0,2.0,0.6,640.0,5303.812,14326.37709078331,2274.0,0,0,0,0,1,0,0,0,0,0,1,0
47.0,0,1,3838.0,2.0,0.5,553.2,5000.0,500.0,1311.0,0,0,0,1,0,0,0,0,0,0,1,0
29.0,1,0,660.0,3.0,0.64,499.0,3405.504,500.0,460.0,0,0,0,1,0,0,0,0,1,0,0,0
64.0,0,5,2071.0,3.0,0.6,603.8,10000.0,16528.519173978777,1775.0,0,0,0,0,0,0,0,1,0,0,0,1
75.0,1,0,2714.0,2.0,0.88,734.0,10000.0,4704.9737016730005,1099.0,1,0,0,0,0,0,0,0,0,0,1,0
39.0,1,1,2783.0,1.0,0.83,357.0,577.66,12733.330382969947,1795.0,0,0,0,0,0,1,0,0,0,0,0,1
60.0,0,1,1788.0,3.0,0.56,726.0,5000.0,10540.674784050036,514.0,1,0,0,0,0,0,0,0,0,1,0,0
31.0,1,5,2600.0,5.0,0.98,689.4,5000.0,6156.501558240514,322.0,0,0,0,1,0,0,0,0,0,1,0,0
26.0,0,6,3008.0,4.0,0.05,484.0,5157.372,500.0,615.0,0,0,0,0,0,1,0,0,1,0,0,0
28.0,1,2,500.0,0.0,0.4,805.0,5000.0,500.0,691.0,0,0,0,0,0,0,1,0,1,0,0,0
21.0,1,6,3695.0,3.0,0.17,777.0,5000.0,22775.8955135935,1434.0,0,0,0,1,0,0,0,0,0,0,1,0
70.0,1,6,3304.0,2.0,0.28,497.0,5000.0,8853.723228062805,446.0,0,0,0,1,0,0,0,0,0,0,1,0
42.0,1,2,897.0,2.0,0.05,395.8,5000.0,11778.343548052928,319.0,1,0,0,0,0,0,0,0,1,0,0,0
62.0,1,5,4278.0,5.0,0.7,455.0,10000.0,31072.702663736723,1538.0,0,0,0,0,0,0,0,1,1,0,0,0
37.0,0,5,3072.0,3.0,0.56,373.0,6292.118,21531.409941811824,1527.0,0,0,0,0,0,0,1,0,1,0,0,0
34.0,0,0,2537.0,0.0,0.97,415.6,10000.0,500.0,361.0,0,0,0,0,0,1,0,0,0,1,0,0
37.0,0,5,4525.0,2.0,0.81,761.0,949.24,10946.391315339892,475.0,1,0,0,0,0,0,0,0,0,0,0,1
30.0,0,5,1295.0,2.0,0.52,427.2,6298.73,500.0,2158.0,0,1,0,0,0,0,0,0,0,0,0,1
75.0,1,6,1859.0,4.0,0.02,503.2,547.03,500.0,1636.0,0,0,0,0,0,1,0,0,1,0,0,0
34.0,1,2,1566.0,5.0,0.28,418.0,2600.3,1992.4825524566777,2138.0,0,0,0,1,0,0,0,0,1,0,0,0
55.0,1,1,3929.0,5.0,0.4,506.0,4232.708,15002.912094814255,305.0,0,0,0,0,0,0,1,0,0,0,1,0
32.0,1,0,3770.0,2.0,0.4,435.4,6186.382,500.0,1238.0,0,1,0,0,0,0,0,0,0,1,0,0
71.0,1,0,4747.0,1.0,0.12,400.0,5000.0,500.0,1972.0,0,0,1,0,0,0,0,0,0,0,1,0
44.0,0,5,3214.0,2.0,0.82,402.0,4442.834,10488.968596578909,2165.0,0,0,0,0,1,0,0,0,0,0,1,0
70.0,1,6,4602.0,3.0,0.36,619.4,4283.124,28770.26971420019,419.0,0,0,0,0,0,0,1,0,0,1,0,0
60.0,0,2,3203.0,2.0,0.12,440.0,944.44,500.0,2039.0,0,0,0,0,0,1,0,0,0,0,0,1
70.0,0,6,3865.0,3.0,0.52,505.4,1128.66,37282.162849122215,632.0,1,0,0,0,0,0,0,0,1,0,0,0
54.0,1,0,1851.0,2.0,0.67,533.0,348.33,10767.439217607673,900.0,0,0,0,0,1,0,0,0,0,0,1,0
61.0,1,5,1598.0,2.0,0.39,321.0,10000.0,24759.669493278125,644.0,0,0,0,0,0,1,0,0,0,0,1,0
56.0,0,0,1770.0,3.0,0.83,352.0,185.52,4161.441442592443,1238.0,0,1,0,0,0,0,0,0,0,0,0,1
33.0,1,5,1083.0,4.0,0.49,649.2,10000.0,20879.755904736496,1521.0,0,1,0,0,0,0,0,0,0,0,1,0
63.0,0,6,3127.0,3.0,0.17,597.2,5000.0,14801.426364952236,1024.0,0,0,0,1,0,0,0,0,0,0,1,0
33.0,1,1,3041.0,1.0,0.66,620.2,627.58,11145.183005926978,1843.0,0,0,0,0,1,0,0,0,0,0,1,0
34.0,1,6,2741.0,0.0,0.6,573.0,5167.93,500.0,1347.0,1,0,0,0,0,0,0,0,0,1,0,0
47.0,1,6,3059.0,2.0,0.69,670.4,4556.640000000001,28698.200373046937,1514.0,0,1,0,0,0,0,0,0,0,0,0,1
26.0,1,0,2663.0,2.0,0.51,843.0,748.46,500.0,851.0,0,0,0,1,0,0,0,0,0,0,1,0
46.0,0,6,3361.0,3.0,0.65,618.2,10000.0,16872.53990370362,2050.0,0,0,0,0,0,1,0,0,0,0,1,0
40.0,0,6,2530.0,2.0,0.7,454.0,10000.0,500.0,760.0,0,0,0,0,1,0,0,0,0,1,0,0
43.0,1,6,2660.0,4.0,0.53,837.0,926.62,37114.160550787055,2217.0,0,0,0,0,0,1,0,0,0,0,0,1
55.0,1,6,500.0,4.0,0.97,718.0,559.26,29358.177695611375,2011.0,0,0,0,0,1,0,0,0,0,0,1,0
18.0,1,0,2023.0,0.0,0.89,638.4,1032.32,500.0,1169.0,1,0,0,0,0,0,0,0,0,0,1,0
62.0,0,2,904.0,5.0,0.29,561.0,1065.43,6712.726721442828,1688.0,0,0,1,0,0,0,0,0,0,0,1,0
45.0,0,6,568.0,4.0,0.51,654.2,10000.0,500.0,991.0,0,0,0,0,0,0,0,1,0,0,0,1
29.0,0,1,3624.0,0.0,0.21,514.0,1073.5,500.0,363.0,0,0,0,0,0,0,1,0,0,0,0,1
30.0,1,5,2285.0,3.0,0.07,663.0,5000.0,24341.030046911295,1645.0,0,0,0,0,0,1,0,0,0,0,1,0
74.0,0,5,1823.0,0.0,0.26,555.4,5000.0,9958.305010076558,783.0,0,0,0,0,0,0,0,1,0,0,0,1
42.0,1,0,2040.0,3.0,0.29,521.0,10000.0,15699.8867602253,1259.0,0,1,0,0,0,0,0,0,0,0,1,0
23.0,0,0,1059.0,3.0,0.72,495.0,7000.0,500.0,1218.0,0,0,0,0,0,1,0,0,1,0,0,0
41.0,0,2,2321.0,1.0,0.53,682.8,5000.0,15785.751255071553,1556.0,0,1,0,0,0,0,0,0,0,0,1,0
30.0,1,5,5481.0,2.0,0.08,307.0,5000.0,22240.901666635506,476.0,0,0,0,0,0,0,1,0,0,1,0,0
23.0,1,1,3627.0,2.0,0.77,667.6,2449.168,500.0,1269.0,1,0,0,0,0,0,0,0,0,0,0,1
74.0,0,2,1216.0,1.0,0.79,505.0,5000.0,11292.029477601953,517.0,0,0,0,0,0,0,1,0,0,1,0,0
22.0,1,1,1731.0,2.0,0.25,401.6,5000.0,4529.690297241665,1593.0,0,1,0,0,0,0,0,0,0,1,0,0
71.0,0,0,4762.0,4.0,0.03,396.0,1486.62,500.0,1061.0,0,0,0,0,0,1,0,0,0,0,1,0
41.0,1,2,3480.0,3.0,0.86,623.2,10000.0,17264.275901828485,2228.0,0,0,0,1,0,0,0,0,0,1,0,0
18.0,0,0,4463.0,1.0,0.15,747.0,5473.55,500.0,1223.0,1,0,0,0,0,0,0,0,0,0,1,0
18.0,0,6,1668.0,3.0,0.83,514.0,1149.82,25390.88273988203,1120.0,0,0,0,0,0,0,0,1,0,1,0,0
36.0,0,1,974.0,1.0,0.18,620.2,650.62,500.0,1394.0,0,1,0,0,0,0,0,0,0,0,1,0
41.0,0,5,1993.0,3.0,0.47,384.0,4616.918,1281.9229939424142,435.0,0,1,0,0,0,0,0,0,0,1,0,0
59.0,0,0,3359.0,1.0,0.58,600.0,8000.0,500.0,2046.0,0,0,0,0,1,0,0,0,1,0,0,0
18.0,1,2,2863.0,4.0,0.34,515.4,1064.25,4124.384923241231,2278.0,0,0,0,0,0,0,1,0,0,0,1,0
52.0,0,1,2217.0,3.0,0.59,594.6,5000.0,1703.2091550614111,1366.0,0,0,0,0,0,0,1,0,0,0,0,1
44.0,1,5,3603.0,2.0,0.34,574.6,4126.704,18161.86602584039,1011.0,0,0,0,0,0,0,0,1,0,0,1,0
64.0,0,6,3097.0,3.0,0.83,648.8,5000.0,500.0,533.0,0,0,1,0,0,0,0,0,0,0,1,0
40.0,0,2,2140.0,3.0,0.09,566.0,798.03,500.0,2249.0,0,0,0,0,1,0,0,0,1,0,0,0
73.0,0,1,2777.0,3.0,0.32,358.0,1172.07,500.0,997.0,0,0,0,1,0,0,0,0,0,1,0,0
56.0,0,5,1075.0,3.0,0.41,609.8,10000.0,10667.772211678155,2277.0,0,0,0,0,0,0,1,0,0,0,1,0
36.0,0,0,3619.0,1.0,0.43,538.0,10000.0,13279.43790734672,1170.0,0,1,0,0,0,0,0,0,0,0,1,0
34.0,1,2,2597.0,1.0,0.3,448.8,1552.97,14865.32774958236,878.0,0,0,1,0,0,0,0,0,0,0,0,1
29.0,1,0,3152.0,2.0,0.88,462.8,3676.65,2426.265552876417,2209.0,0,0,1,0,0,0,0,0,1,0,0,0
25.0,0,0,3243.0,3.0,0.56,483.0,522.19,500.0,1881.0,0,1,0,0,0,0,0,0,1,0,0,0
59.0,1,6,1484.0,3.0,0.25,486.0,5000.0,17717.330429437272,1207.0,0,0,0,0,1,0,0,0,0,0,1,0
41.0,1,2,1797.0,3.0,0.31,536.4,283.86,10146.957094539635,749.0,0,0,1,0,0,0,0,0,0,1,0,0
74.0,0,2,2986.0,0.0,0.74,496.6,5000.0,11837.808210233152,1927.0,1,0,0,0,0,0,0,0,0,1,0,0
24.0,1,0,1930.0,3.0,0.32,599.0,948.83,10379.81877962131,501.0,0,1,0,0,0,0,0,0,0,0,1,0
73.0,0,0,4771.0,0.0,0.47,630.0,5094.35,19719.5017886146,1926.0,1,0,0,0,0,0,0,0,0,0,0,1
60.0,0,0,2600.0,2.0,0.26,612.6,10000.0,500.0,933.0,0,0,0,0,0,1,0,0,0,0,1,0
22.0,0,2,1878.0,4.0,0.93,492.8,5298.846,500.0,2059.0,0,0,0,0,1,0,0,0,0,1,0,0
75.0,0,2,4778.0,0.0,0.64,614.0,5000.0,8980.312053464007,693.0,1,0,0,0,0,0,0,0,1,0,0,0
75.0,1,1,2248.0,0.0,0.02,567.2,10000.0,500.0,1065.0,0,0,0,0,0,0,0,1,1,0,0,0
41.0,0,1,3039.0,2.0,0.92,539.6,883.63,500.0,1444.0,0,0,0,1,0,0,0,0,0,0,1,0
40.0,0,1,1899.0,5.0,0.11,342.0,2468.4300000000003,500.0,1989.0,0,0,0,0,0,0,0,1,0,0,0,1
39.0,0,0,3230.0,3.0,0.31,507.2,10000.0,500.0,573.0,0,0,0,0,0,0,0,1,1,0,0,0
47.0,1,0,3789.0,2.0,0.68,377.0,4094.9979999999996,18509.20677497533,2093.0,0,0,0,0,0,0,0,1,0,1,0,0
57.0,1,1,4207.0,1.0,0.78,718.0,4286.72,21549.82401911197,1030.0,0,0,1,0,0,0,0,0,1,0,0,0
69.0,1,1,1435.0,3.0,0.24,304.0,6139.642,500.0,1696.0,0,0,0,0,0,0,0,1,1,0,0,0
32.0,0,5,1861.0,4.0,0.78,532.0,5000.0,500.0,2055.0,0,0,1,0,0,0,0,0,0,0,1,0
74.0,1,2,1998.0,3.0,0.59,774.0,2310.4100000000003,500.0,1062.0,0,0,0,0,0,1,0,0,0,1,0,0
55.0,1,6,602.0,4.0,0.35,641.0,10000.0,5428.047793885788,857.0,0,0,0,0,1,0,0,0,0,0,0,1
40.0,1,5,3474.0,4.0,0.71,496.0,1278.27,16752.789752354092,1852.0,0,0,0,0,1,0,0,0,1,0,0,0
56.0,0,6,1908.0,5.0,0.47,318.0,5000.0,20423.84320730014,463.0,0,1,0,0,0,0,0,0,0,0,1,0
57.0,0,6,1176.0,0.0,0.32,605.0,2494.1539999999995,500.0,2100.0,0,0,1,0,0,0,0,0,0,0,1,0
38.0,0,0,3112.0,3.0,0.7,822.0,623.38,500.0,1928.0,0,0,0,1,0,0,0,0,0,1,0,0
33.0,1,5,2377.0,2.0,0.44,646.0,5000.0,18901.259369115334,1412.0,0,0,0,0,0,0,1,0,0,0,0,1
48.0,1,6,4010.0,2.0,0.57,702.2,10000.0,39913.545442220304,306.0,0,0,0,0,0,0,0,1,0,0,0,1
59.0,1,1,2448.0,3.0,0.33,507.0,10000.0,500.0,2196.0,0,0,0,0,0,0,1,0,0,0,0,1
41.0,0,2,4319.0,5.0,0.08,527.6,9000.0,500.0,2254.0,0,0,0,0,0,0,0,1,1,0,0,0
43.0,1,2,4897.0,0.0,0.27,768.0,10000.0,35962.04802835945,928.0,1,0,0,0,0,0,0,0,0,0,0,1
45.0,0,1,4231.0,2.0,0.06,485.2,5000.0,500.0,1639.0,0,0,0,0,0,0,1,0,0,0,1,0
61.0,0,6,2261.0,2.0,0.73,762.0,734.6,24528.67112085739,1172.0,0,0,0,0,1,0,0,0,0,0,1,0
21.0,0,0,645.0,4.0,0.03,818.0,10000.0,500.0,446.0,0,0,0,1,0,0,0,0,0,0,0,1
22.0,1,5,3191.0,2.0,0.74,667.6,10000.0,3639.7413556351794,2244.0,0,0,0,0,0,0,1,0,0,0,0,1
75.0,0,5,2452.0,4.0,0.49,380.0,7191.37,500.0,833.0,0,1,0,0,0,0,0,0,0,0,1,0
60.0,1,5,2571.0,2.0,0.41,554.2,10000.0,33049.468422152735,2175.0,0,0,0,0,0,0,0,1,0,0,1,0
44.0,0,2,4154.0,3.0,0.76,574.8,5000.0,10656.8885958248,1532.0,0,0,0,1,0,0,0,0,1,0,0,0
21.0,1,2,969.0,3.0,0.02,563.0,731.72,500.0,483.0,0,0,0,0,0,1,0,0,0,0,1,0
29.0,0,1,3121.0,1.0,0.72,701.0,5000.0,7051.1771065952,1359.0,0,0,0,0,0,0,0,1,1,0,0,0
25.0,0,5,3384.0,2.0,0.65,630.0,10000.0,500.0,2067.0,0,0,0,0,0,1,0,0,0,1,0,0
68.0,1,0,2285.0,1.0,0.21,792.0,10000.0,2724.9198051534495,1930.0,1,0,0,0,0,0,0,0,1,0,0,0
27.0,1,6,2483.0,2.0,0.99,666.0,33.29,26282.620988748466,403.0,1,0,0,0,0,0,0,0,0,0,1,0
72.0,0,1,2466.0,2.0,0.16,801.0,6200.59,5070.610961595275,1534.0,0,0,0,1,0,0,0,0,0,0,0,1
72.0,1,6,2684.0,2.0,0.78,692.8,5000.0,15080.08702060483,1577.0,0,1,0,0,0,0,0,0,0,0,0,1
35.0,1,0,4243.0,2.0,0.02,359.0,10000.0,14306.900020371317,1319.0,0,0,0,1,0,0,0,0,0,0,0,1
44.0,0,1,2265.0,2.0,0.22,570.8,10000.0,6693.74203294808,717.0,0,0,0,0,0,1,0,0,0,0,1,0
23.0,1,5,3055.0,1.0,0.35,385.0,4503.966,1798.0125221383746,2114.0,0,0,0,0,0,0,1,0,1,0,0,0
42.0,1,6,1203.0,2.0,0.38,500.0,6372.972,10497.778053549608,665.0,0,0,0,0,0,0,0,1,0,0,1,0
62.0,0,0,4340.0,2.0,0.7,698.0,1004.67,500.0,1562.0,0,0,1,0,0,0,0,0,1,0,0,0
23.0,0,0,1676.0,3.0,0.04,657.0,10000.0,500.0,1314.0,0,0,1,0,0,0,0,0,0,0,1,0
23.0,1,2,531.0,1.0,0.96,546.8,8000.0,500.0,1929.0,0,1,0,0,0,0,0,0,0,1,0,0
22.0,0,2,1733.0,3.0,0.64,573.6,1411.64,6372.475344505444,356.0,0,1,0,0,0,0,0,0,0,0,1,0
37.0,1,1,2743.0,5.0,0.49,583.8,3403.228,16741.9804046619,1696.0,0,0,0,0,0,0,0,1,0,1,0,0
27.0,1,6,500.0,2.0,0.23,648.2,5136.246,14504.604268333092,537.0,0,0,0,0,0,1,0,0,0,0,0,1
49.0,0,2,1711.0,5.0,0.53,708.0,6246.806,500.0,1389.0,0,0,1,0,0,0,0,0,0,0,0,1
59.0,0,6,3498.0,4.0,0.86,335.0,459.59,12032.654325077505,1170.0,0,0,0,1,0,0,0,0,0,0,1,0
41.0,1,2,1882.0,5.0,0.2,537.4,2787.826,28685.37160497041,825.0,0,0,0,0,0,1,0,0,0,0,0,1
45.0,0,1,1084.0,4.0,0.98,820.0,10000.0,500.0,596.0,0,0,0,1,0,0,0,0,0,0,0,1
73.0,0,5,2345.0,3.0,0.86,346.0,6000.0,500.0,1224.0,0,0,0,1,0,0,0,0,0,0,0,1
43.0,0,0,2740.0,4.0,0.1,486.0,773.51,6726.144540197254,424.0,0,0,0,0,0,1,0,0,0,1,0,0
60.0,1,0,1704.0,2.0,0.3,557.2,5000.0,500.0,1747.0,0,1,0,0,0,0,0,0,0,1,0,0
57.0,0,0,871.0,2.0,0.47,706.0,5310.844,500.0,527.0,1,0,0,0,0,0,0,0,0,0,0,1
64.0,0,5,2589.0,4.0,0.7,445.8,7094.316000000001,20212.703427559845,1615.0,0,0,0,1,0,0,0,0,0,0,0,1
49.0,0,6,1127.0,4.0,0.22,830.0,4605.5380000000005,5504.582746306162,299.0,0,0,1,0,0,0,0,0,0,0,1,0
68.0,0,5,1526.0,3.0,0.49,359.0,6153.204,8878.890939012841,2189.0,0,0,0,1,0,0,0,0,0,0,1,0
23.0,0,1,1797.0,1.0,0.04,595.0,546.16,500.0,813.0,0,1,0,0,0,0,0,0,0,1,0,0
40.0,0,0,2165.0,1.0,0.84,846.0,887.1,500.0,1279.0,1,0,0,0,0,0,0,0,0,0,1,0
72.0,0,2,2676.0,2.0,0.46,550.2,5000.0,10124.44495985712,361.0,0,0,0,0,0,0,1,0,1,0,0,0
68.0,0,5,2107.0,5.0,0.84,503.6,688.7,8921.973730630438,1213.0,0,1,0,0,0,0,0,0,0,1,0,0
32.0,0,6,2063.0,2.0,0.38,526.4,854.72,6035.446018551712,542.0,0,0,1,0,0,0,0,0,0,1,0,0
48.0,1,5,1290.0,5.0,0.49,331.0,10000.0,8255.660172817976,1348.0,0,0,0,0,1,0,0,0,0,1,0,0
75.0,0,0,1313.0,2.0,0.85,805.0,1260.4,5083.612822428259,414.0,0,1,0,0,0,0,0,0,0,1,0,0
57.0,0,0,1029.0,3.0,0.52,467.4,10000.0,500.0,1613.0,0,1,0,0,0,0,0,0,0,0,1,0
75.0,1,0,2362.0,4.0,0.39,491.0,5000.0,500.0,1069.0,0,0,0,0,0,1,0,0,0,1,0,0
62.0,1,0,3735.0,3.0,0.4,643.0,4383.83,500.0,572.0,0,0,1,0,0,0,0,0,0,1,0,0
37.0,0,1,2379.0,2.0,0.21,487.0,6024.692,500.0,1067.0,0,0,0,0,0,0,0,1,0,0,1,0
63.0,0,5,2170.0,4.0,0.15,543.6,902.3,16629.25199108691,1783.0,1,0,0,0,0,0,0,0,1,0,0,0
70.0,1,5,5731.125,5.0,0.62,506.4,5253.852,29125.106077604298,470.0,0,0,0,0,0,0,1,0,0,0,1,0
31.0,0,6,1599.0,2.0,0.35,596.8,5000.0,500.0,814.0,0,0,0,0,0,1,0,0,0,0,1,0
31.0,1,6,1814.0,2.0,0.07,689.4,4544.9800000000005,38558.79613385785,893.0,0,0,0,0,0,0,0,1,0,1,0,0
21.0,1,2,609.0,3.0,1.0,575.4,723.68,500.0,457.0,0,0,0,1,0,0,0,0,1,0,0,0
20.0,1,1,3332.0,5.0,0.03,660.0,5158.2699999999995,14791.054255033709,1675.0,1,0,0,0,0,0,0,0,1,0,0,0
56.0,0,6,2204.0,3.0,0.81,611.2,5000.0,24690.30817151772,1381.0,0,0,0,0,1,0,0,0,0,0,1,0
42.0,1,0,3099.0,2.0,0.73,555.0,4324.47,14232.322333697375,1852.0,1,0,0,0,0,0,0,0,0,1,0,0
55.0,0,6,1771.0,0.0,0.09,301.0,5000.0,500.0,2222.0,1,0,0,0,0,0,0,0,0,0,1,0
25.0,0,5,5431.0,2.0,0.29,505.0,5000.0,27702.156529405507,1528.0,0,1,0,0,0,0,0,0,0,0,0,1
67.0,0,6,2979.0,4.0,0.56,376.0,5209.4980000000005,30331.9324936551,1619.0,0,0,0,0,0,0,0,1,0,0,0,1
49.0,1,0,3192.0,2.0,0.35,644.6,621.78,500.0,1064.0,0,0,0,0,0,0,1,0,0,0,0,1
47.0,0,2,3877.0,4.0,0.69,575.4,780.64,26198.455079027182,1645.0,0,1,0,0,0,0,0,0,0,1,0,0
68.0,1,5,2128.0,3.0,0.18,594.6,6202.2699999999995,500.0,2087.0,0,0,0,0,0,0,1,0,1,0,0,0
19.0,1,0,1772.0,3.0,0.42,630.0,10000.0,12454.328982490384,1499.0,0,0,0,0,0,0,0,1,0,1,0,0
65.0,1,1,5181.0,4.0,0.56,601.4,10000.0,14858.463980839962,1787.0,0,0,0,0,0,0,0,1,0,0,0,1
75.0,1,2,3746.0,3.0,0.73,659.2,1002.34,16415.71124195981,1797.0,0,0,0,0,1,0,0,0,0,0,1,0
53.0,1,5,2952.0,0.0,0.03,630.0,1101.41,24462.730419394706,1657.0,0,0,0,0,1,0,0,0,1,0,0,0
